# 
# Header Description:
# 
# Version: v3.1.0.3 Platform: 13 Manufacturer: samsung Model: SM-S135DL GNSS Hardware Model Name: MediaTek,MT6631,MTK_MNLD_default,MNL_VER_default
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# Pressure,utcTimeMillis,elapsedRealtimeNanos,PressureHpa
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Fix,FLP,37.4248211000,-122.1585762000,3.06284145104158,0.06985458,23.794,,1732151036623,2.1,,29920471000000,12.256699,0,,,
Status,,27,0,1,17,1575420030,0.00,122.0,79.0,0,0,0,0.0
Status,,27,1,1,22,1575420030,18.20,357.0,68.0,0,0,0,13.200001
Status,,27,2,1,14,1575420030,0.00,44.0,57.0,0,0,0,0.0
Status,,27,3,1,19,1575420030,0.00,198.0,54.0,0,0,0,0.0
Status,,27,4,1,13,1575420030,26.40,244.0,52.0,1,0,0,21.4
Status,,27,5,1,30,1575420030,22.50,126.0,42.0,1,0,0,17.5
Status,,27,6,1,15,1575420030,19.40,282.0,31.0,1,0,0,14.4
Status,,27,7,1,2,1575420030,0.00,53.0,19.0,0,0,0,0.0
Status,,27,8,1,24,1575420030,0.00,312.0,11.0,0,0,0,0.0
Status,,27,9,1,7,1575420030,27.50,128.0,10.0,1,0,0,22.5
Status,,27,10,1,21,1575420030,0.00,38.0,8.0,0,0,0,0.0
Status,,27,11,1,6,1575420030,0.00,165.0,6.0,0,0,0,0.0
Status,,27,12,3,20,1602000000,0.00,124.0,47.0,0,0,0,0.0
Status,,27,13,3,9,1602000000,0.00,72.0,37.0,0,0,0,0.0
Status,,27,14,3,8,1602000000,20.50,253.0,28.0,0,0,0,15.5
Status,,27,15,3,19,1602000000,0.00,39.0,28.0,0,0,0,0.0
Status,,27,16,3,11,1602000000,29.30,304.0,23.0,0,0,0,24.3
Status,,27,17,6,21,1575420030,0.00,330.0,67.0,0,0,0,0.0
Status,,27,18,6,19,1575420030,0.00,250.0,50.0,0,0,0,0.0
Status,,27,19,6,27,1575420030,0.00,60.0,37.0,0,0,0,0.0
Status,,27,20,6,29,1575420030,0.00,192.0,30.0,0,0,0,0.0
Status,,27,21,6,13,1575420030,0.00,124.0,24.0,0,0,0,0.0
Status,,27,22,6,15,1575420030,0.00,68.0,23.0,0,0,0,0.0
Status,,27,23,6,4,1575420030,0.00,315.0,20.0,0,0,0,0.0
Status,,27,24,6,26,1575420030,0.00,169.0,2.0,0,0,0,0.0
Status,,27,25,6,6,1575420030,0.00,329.0,1.0,0,0,0,0.0
Status,,27,26,6,34,1575420030,0.00,24.0,1.0,0,0,0,0.0
Fix,GPS,37.4248266667,-122.1585400000,-0.5999999999999979,0.0,5.5,0.0,1732151037366,2.1,179.9,29921471000000,85.4,0,,,
Raw,1732151037369,16514000000,,33353073.878863223,-1416186238855000064,0.0,233.2937692662504,1423.566857162648,0.0,0,13,0.0,16431,349455299091586,487,21.361000061035156,697.8507548965067,0.14999,16,0.0,0.0,1575420030,,,,0,4.477943948715898,1,6.0,21.361000061035156,0.0,0.0,0.0,66.7128,C,29921471000000,
Raw,1732151037369,16514000000,,33353073.878863223,-1416186238855000064,0.0,233.2937692662504,1423.566857162648,0.0,0,7,0.0,16431,349455288095357,487,22.511999130249023,1030.7667479522734,0.14999,16,0.0,0.0,1575420030,,,,0,6.338935792612265,1,6.0,22.511999130249023,0.0,0.0,0.0,66.7128,C,29921471000000,
Raw,1732151037369,16514000000,,33353073.878863223,-1416186238855000064,0.0,233.2937692662504,1423.566857162648,0.0,0,15,0.0,16431,349455294513555,1797,14.399999618530273,490.2304157724216,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,14.399999618530273,0.0,0.0,0.0,66.7128,C,29921471000000,
