Date,Time,Temp (°F),Pressure (mb),Temp 10m (°F),Temp 2m (°F)
11/4/24,2100,51.4,1022.7,53,50.3
11/4/24,2055,51.4,1022.7,53.3,50.4
11/4/24,2050,51.6,1022.7,53.8,50.8
11/4/24,2045,52,1022.7,53.8,51.3
11/4/24,2040,52.3,1022.7,53.5,50.8
11/4/24,2035,52.9,1022.7,55,51.5
11/4/24,2030,52.7,1022.7,54.8,51.6
11/4/24,2025,52.6,1022.6,54.5,51.9
11/4/24,2020,52.7,1022.6,54.6,51.7
11/4/24,2015,53.3,1022.6,54.6,52
11/4/24,2010,53.7,1022.6,55.2,52.8
11/4/24,2005,53.5,1022.7,55.6,52.7
11/4/24,2000,53.4,1022.6,55,52.2
11/4/24,1955,53.8,1022.5,55.2,52.6
11/4/24,1950,53.6,1022.4,55.4,52.6
11/4/24,1945,54.5,1022.4,56,53
11/4/24,1940,55.1,1022.4,56.9,53.8
11/4/24,1935,55.5,1022.4,56.9,54.4
11/4/24,1930,55.5,1022.5,57,54.5
11/4/24,1925,55.9,1022.5,57,54.3
11/4/24,1920,56.2,1022.5,56.8,54.3
11/4/24,1915,56.7,1022.4,57.2,54.3
11/4/24,1910,57.8,1022.2,58.3,56.5
11/4/24,1905,58.1,1022.1,58.5,56.9
11/4/24,1900,57.9,1022.1,59.5,57.2
11/4/24,1855,57.4,1022,60.1,56.5
11/4/24,1850,57.3,1022,60.4,56.4
11/4/24,1845,56.9,1022,60.2,55.8
11/4/24,1840,56.8,1022,59.7,55.4
11/4/24,1835,57,1022.1,59.8,55
11/4/24,1830,57.4,1022,60.2,55.4
11/4/24,1825,57.5,1021.9,59.7,56.1
11/4/24,1820,58.6,1021.9,60.4,56.6
11/4/24,1815,59.6,1021.8,61.2,57.6
11/4/24,1810,59.1,1021.7,61.7,58.7
11/4/24,1805,58.6,1021.7,62,57.8
11/4/24,1800,59,1021.7,61.9,57.6
11/4/24,1755,60.4,1021.6,63.6,57.8
11/4/24,1750,61.3,1021.6,63,58.4
11/4/24,1745,62.5,1021.6,64.6,60.1
11/4/24,1740,62.3,1021.5,65.6,60.3
11/4/24,1735,62.6,1021.6,65.9,60.4
11/4/24,1730,63.1,1021.4,66.4,60.9
11/4/24,1725,64.2,1021.3,67,62.4
