Date,Time,Temp (°F),Temp 2m (°F),Temp 10m (°F),Pressure (mb)
11/4/24,2300,49.3,48.2,50.8,1023.5
11/4/24,2200,50.3,49.5,51.9,1023
11/4/24,2100,52.5,51.5,54.3,1022.7
11/4/24,2000,55.5,54.1,56.7,1022.4
11/4/24,1900,57.8,56.5,60.4,1021.9
11/4/24,1800,63,60.9,65.7,1021.3
11/4/24,1700,71.2,69.1,71.2,1021
11/4/24,1600,72.5,72.8,71.8,1021.4
11/4/24,1500,72.7,73.9,71.8,1021.7
11/4/24,1400,72.6,74.6,71.2,1021.6
11/4/24,1300,71.4,73.5,70,1022.4
11/4/24,1200,70.1,70.7,67.8,1023.4
11/4/24,1100,67.9,67.6,65.6,1024.6
11/4/24,1000,64.2,63,63.3,1025.3
11/4/24,0900,56.3,54.7,57.2,1025.4
11/4/24,0800,48,46.8,49,1025.3
11/4/24,0700,44.5,43.4,46.1,1024.7
11/4/24,0600,45.1,43.9,48.3,1024.3
11/4/24,0500,45,44.4,48.3,1023.8
11/4/24,0400,46.3,45.5,51.9,1023.4
11/4/24,0300,47.4,46.9,52.9,1023.4
11/4/24,0200,48.4,47.5,51.6,1023.2
11/4/24,0100,51,49.8,56.6,1022.9
11/4/24,0000,50.6,49.8,56.7,1022.7
