"property","value"
"version","1.1.16"
"build","1011602"
"fileFormat","1.18"
"deviceModel","SM-S135DL"
"deviceBrand","samsung"
"deviceBoard","a03su"
"deviceManufacturer","samsung"
"deviceBaseOS","samsung/a03sutfnssu/a03su:13/TP1A.220624.014/S135DLUDU3AWJ3:user/release-keys"
"deviceCodename","REL"
"deviceRelease","13"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","STK8321"
"accelerometer Vendor","stk832x"
"accelerometer Range","78.453606"
"accelerometer Resolution","0.0012"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","16000"
"accelerometer Power","0.001"
"accelerometer Version","1"
"linear_acceleration Name","null"
"linear_acceleration Vendor","null"
"linear_acceleration Range","null"
"linear_acceleration Resolution","null"
"linear_acceleration MinDelay","null"
"linear_acceleration MaxDelay","null"
"linear_acceleration Power","null"
"linear_acceleration Version","null"
"gravity Name","null"
"gravity Vendor","null"
"gravity Range","null"
"gravity Resolution","null"
"gravity MinDelay","null"
"gravity MaxDelay","null"
"gravity Power","null"
"gravity Version","null"
"gyroscope Name","null"
"gyroscope Vendor","null"
"gyroscope Range","null"
"gyroscope Resolution","null"
"gyroscope MinDelay","null"
"gyroscope MaxDelay","null"
"gyroscope Power","null"
"gyroscope Version","null"
"magnetic_field Name","null"
"magnetic_field Vendor","null"
"magnetic_field Range","null"
"magnetic_field Resolution","null"
"magnetic_field MinDelay","null"
"magnetic_field MaxDelay","null"
"magnetic_field Power","null"
"magnetic_field Version","null"
"pressure Name","BMP390"
"pressure Vendor","bmp390"
"pressure Range","1572.8607"
"pressure Resolution","0.0016"
"pressure MinDelay","100000"
"pressure MaxDelay","1000000"
"pressure Power","0.001"
"pressure Version","1"
"light Name","TMD2712"
"light Vendor","tmd2712_l"
"light Range","65535.0"
"light Resolution","1.0"
"light MinDelay","0"
"light MaxDelay","1000000"
"light Power","0.001"
"light Version","1"
"proximity Name","TMD2712"
"proximity Vendor","tmd2712_p"
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","1000000"
"proximity Power","0.001"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","null"
"attitude Vendor","null"
"attitude Range","null"
"attitude Resolution","null"
"attitude MinDelay","null"
"attitude MaxDelay","null"
"attitude Power","null"
"attitude Version","null"
