"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.333980259E0,3.742438333E1,-1.221711850E2,3.123963158E1,5.404583365E-2,6.036000061E1,1.899999976E0,2.789999962E1
1.833980259E0,3.742438333E1,-1.221711900E2,3.123964179E1,6.176666543E-2,5.440999985E1,2.799999952E0,2.279999924E1
2.333980259E0,3.742438667E1,-1.221711967E2,3.133964640E1,5.044277757E-2,3.513999939E1,2.900000095E0,2.229999924E1
2.833980259E0,3.742438500E1,-1.221712033E2,3.133966451E1,3.860416636E-2,4.965000153E1,2.900000095E0,1.319999981E1
3.333980259E0,3.742438833E1,-1.221712383E2,3.203972695E1,8.750277571E-3,1.938999939E1,2.400000095E0,1.339999962E1
3.833980259E0,3.742439000E1,-1.221712533E2,3.243975307E1,4.889861122E-2,3.249599915E2,2.099999905E0,1.369999981E1
4.833980259E0,3.742439167E1,-1.221712533E2,3.253974857E1,1.183861122E-1,3.271700134E2,1.899999976E0,1.450000000E1
5.833980259E0,3.742439167E1,-1.221712533E2,3.243974857E1,1.358866692E-1,3.073399963E2,1.799999952E0,1.539999962E1
6.833980259E0,3.742439167E1,-1.221712550E2,3.223975198E1,5.867833272E-2,3.277600098E2,1.799999952E0,1.460000038E1
8.220980259E0,3.742439333E1,-1.221712500E2,3.243973727E1,5.095750093E-2,4.818000031E1,1.700000048E0,1.720000076E1
9.220980259E0,3.742439167E1,-1.221712450E2,3.233973156E1,8.750277758E-2,6.295999908E1,1.600000024E0,1.770000076E1
1.022098026E1,3.742439000E1,-1.221712433E2,3.233973266E1,7.514944673E-2,7.316000366E1,1.500000000E0,1.670000076E1
1.122098026E1,3.742438833E1,-1.221712450E2,3.223974056E1,1.183861122E-2,3.321799927E2,1.500000000E0,1.670000076E1
1.222098026E1,3.742438667E1,-1.221712450E2,3.223974506E1,4.992805421E-2,2.328600006E2,1.500000000E0,1.679999924E1
1.322098026E1,3.742438500E1,-1.221712450E2,3.213974956E1,9.110583365E-2,2.604100037E2,1.399999976E0,1.670000076E1
1.421998026E1,3.742438500E1,-1.221712467E2,3.203975296E1,1.677994430E-1,2.753399963E2,1.399999976E0,1.639999962E1
1.521998026E1,3.742438333E1,-1.221712483E2,3.183976086E1,1.487547159E-1,2.818699951E2,1.399999976E0,1.670000076E1
1.621998026E1,3.742438333E1,-1.221712483E2,3.173976086E1,7.566417009E-2,2.187200012E2,1.399999976E0,1.639999962E1
1.721998026E1,3.742438000E1,-1.221712467E2,3.173976645E1,1.961091608E-1,1.218600006E2,1.399999976E0,1.629999924E1
1.821998026E1,3.742437833E1,-1.221712467E2,3.193977095E1,1.755202711E-1,8.583999634E1,1.399999976E0,1.610000038E1
1.921998026E1,3.742437833E1,-1.221712483E2,3.193977435E1,1.955944486E-2,1.517700043E2,1.399999976E0,1.600000000E1
2.021998026E1,3.742437667E1,-1.221712500E2,3.193978225E1,1.369161159E-1,2.564200134E2,1.399999976E0,1.589999962E1
2.121998026E1,3.742437500E1,-1.221712517E2,3.193979015E1,1.127241701E-1,2.476000061E2,1.299999952E0,1.580000019E1
2.221998026E1,3.742437500E1,-1.221712533E2,3.193979355E1,1.086063907E-1,1.950099945E2,1.299999952E0,1.629999924E1
2.321998026E1,3.742437333E1,-1.221712533E2,3.193979805E1,1.019150019E-1,1.905399933E2,1.299999952E0,1.569999981E1
2.421998026E1,3.742437500E1,-1.221712533E2,3.193979355E1,8.750277758E-2,9.026000214E1,1.299999952E0,1.620000076E1
2.521998026E1,3.742437500E1,-1.221712533E2,3.193979355E1,7.720833272E-2,1.521799927E2,1.299999952E0,1.569999981E1
2.621998026E1,3.742437500E1,-1.221712533E2,3.193979355E1,7.566417009E-2,1.785500031E2,1.299999952E0,1.629999924E1
2.721998026E1,3.742437500E1,-1.221712517E2,3.183979015E1,5.919305608E-2,1.717799988E2,1.299999952E0,1.580000019E1
2.821998026E1,3.742437667E1,-1.221712517E2,3.183978565E1,4.529555514E-2,7.880999756E1,1.299999952E0,1.610000038E1
2.921998026E1,3.742437833E1,-1.221712517E2,3.173978116E1,4.683972150E-2,3.466400146E2,1.299999952E0,1.569999981E1
3.021998026E1,3.742438000E1,-1.221712517E2,3.173977666E1,3.551583365E-2,2.367100067E2,1.299999952E0,1.629999924E1
3.121998026E1,3.742438000E1,-1.221712533E2,3.163978006E1,3.242750093E-2,2.329299927E2,1.299999952E0,1.580000019E1
3.221998026E1,3.742438167E1,-1.221712533E2,3.153977556E1,0.000000000E0,2.863299866E2,1.299999952E0,1.600000000E1
3.321998026E1,3.742438167E1,-1.221712550E2,3.143977896E1,0.000000000E0,2.964700012E2,1.399999976E0,1.610000038E1
3.421998026E1,3.742438167E1,-1.221712533E2,3.133977556E1,0.000000000E0,8.277999878E1,1.399999976E0,1.550000000E1
3.521998026E1,3.742438167E1,-1.221712533E2,3.133977556E1,0.000000000E0,8.277999878E1,1.500000000E0,1.580000019E1
3.621998026E1,3.742438167E1,-1.221712533E2,3.133977556E1,0.000000000E0,8.277999878E1,1.600000024E0,1.539999962E1
3.721998026E1,3.742438333E1,-1.221712383E2,3.083974045E1,2.192716599E-1,8.837000275E1,1.600000024E0,1.510000038E1
3.821998026E1,3.742438167E1,-1.221712317E2,3.093973134E1,2.908180654E-1,9.316000366E1,1.600000024E0,1.530000019E1
3.921998026E1,3.742438667E1,-1.221712267E2,3.103970764E1,3.546436131E-1,7.345999908E1,1.600000024E0,1.679999924E1
4.021998026E1,3.742439000E1,-1.221712183E2,3.113968163E1,4.184691608E-1,6.476000214E1,1.600000024E0,1.689999962E1
4.121998026E1,3.742438833E1,-1.221712133E2,3.103967592E1,4.812652767E-1,8.331999969E1,1.700000048E0,1.689999962E1
4.221998026E1,3.742438667E1,-1.221712083E2,3.113967021E1,5.301638842E-1,8.976999664E1,1.700000048E0,1.679999924E1
4.321998026E1,3.742438500E1,-1.221712067E2,3.133967131E1,5.811213851E-1,9.604000092E1,1.700000048E0,1.450000000E1
4.421998026E1,3.742438500E1,-1.221712133E2,3.183968492E1,6.125194430E-1,1.129400024E2,1.700000048E0,1.300000000E1
4.521998026E1,3.742438167E1,-1.221712067E2,3.213968031E1,6.367114186E-1,1.093399963E2,1.700000048E0,1.280000019E1
4.621998026E1,3.742437667E1,-1.221711983E2,3.233967679E1,6.063427925E-1,1.138799973E2,1.700000048E0,1.169999981E1
4.721998026E1,3.742437500E1,-1.221711883E2,3.253966088E1,5.811213851E-1,1.009599991E2,1.700000048E0,1.150000000E1
4.821998026E1,3.742437333E1,-1.221711883E2,3.263966537E1,5.311933160E-1,1.338399963E2,1.600000024E0,1.169999981E1
4.921998026E1,3.742437167E1,-1.221711883E2,3.253966987E1,4.735444486E-1,1.349400024E2,1.600000024E0,1.189999962E1
5.021998026E1,3.742437000E1,-1.221711900E2,3.243967777E1,4.112630486E-1,2.763099976E2,1.600000024E0,1.119999981E1
5.121998026E1,3.742436500E1,-1.221711917E2,3.243969467E1,0.000000000E0,1.151800003E2,1.500000000E0,1.050000000E1
5.221998026E1,3.742436000E1,-1.221711933E2,3.253971156E1,0.000000000E0,1.167600021E2,1.500000000E0,1.130000019E1
5.321998026E1,3.742435500E1,-1.221711950E2,3.253972846E1,0.000000000E0,7.195999908E1,1.500000000E0,1.089999962E1
5.421998026E1,3.742435500E1,-1.221711950E2,3.253972846E1,0.000000000E0,7.195999908E1,1.500000000E0,1.069999981E1
5.521998026E1,3.742435500E1,-1.221711950E2,3.253972846E1,0.000000000E0,7.195999908E1,1.399999976E0,1.039999962E1
5.621998026E1,3.742435500E1,-1.221711950E2,3.253972846E1,0.000000000E0,7.195999908E1,1.399999976E0,1.030000019E1
5.721998026E1,3.742435500E1,-1.221711950E2,3.253972846E1,0.000000000E0,7.195999908E1,1.500000000E0,1.039999962E1
5.821998026E1,3.742435500E1,-1.221711950E2,3.253972846E1,0.000000000E0,7.195999908E1,1.500000000E0,1.050000000E1
5.921998026E1,3.742435500E1,-1.221711950E2,3.253972846E1,0.000000000E0,7.195999908E1,1.399999976E0,1.080000019E1
