"Time (s)","Pressure (hPa)"
1.045772504E0,1.016000000E3
1.981576968E0,1.015969971E3
2.917381432E0,1.015989990E3
3.853185896E0,1.016009949E3
4.788990360E0,1.015969971E3
5.724794824E0,1.016000000E3
6.660599288E0,1.016029968E3
7.596403752E0,1.016009949E3
8.532208216E0,1.016019958E3
9.468012680E0,1.015959961E3
1.040381714E1,1.015979980E3
1.133962161E1,1.015969971E3
1.227542607E1,1.015969971E3
1.321123054E1,1.015979980E3
1.414703500E1,1.016029968E3
1.508283946E1,1.016009949E3
1.601864393E1,1.015949951E3
1.695444839E1,1.016000000E3
1.789025286E1,1.015979980E3
1.882605732E1,1.015969971E3
1.976186178E1,1.016000000E3
2.069766625E1,1.015989990E3
2.163347071E1,1.016009949E3
2.256927518E1,1.016000000E3
2.350507964E1,1.015929993E3
2.444088410E1,1.015959961E3
2.537668857E1,1.016009949E3
2.631249303E1,1.015989990E3
2.724829750E1,1.015940002E3
2.818410196E1,1.015979980E3
2.911990642E1,1.015969971E3
3.005571089E1,1.016000000E3
3.099151535E1,1.016000000E3
3.192731982E1,1.015959961E3
3.286312428E1,1.015989990E3
3.379892874E1,1.016000000E3
3.473473321E1,1.015969971E3
3.567053767E1,1.016009949E3
3.660634214E1,1.015889954E3
3.754214660E1,1.015839966E3
3.847795106E1,1.015869995E3
3.941375553E1,1.015799988E3
4.034955999E1,1.015799988E3
4.128536446E1,1.015750000E3
4.222116892E1,1.015719971E3
4.315697338E1,1.015709961E3
4.409277785E1,1.015669983E3
4.502858231E1,1.015599976E3
4.596438678E1,1.015579956E3
4.690019124E1,1.015559998E3
4.783599570E1,1.015549988E3
4.877180017E1,1.015489990E3
4.970760463E1,1.015529968E3
5.064340910E1,1.015569946E3
5.157921356E1,1.015569946E3
5.251501802E1,1.015549988E3
5.345082249E1,1.015559998E3
5.438662695E1,1.015569946E3
5.532243142E1,1.015569946E3
5.625823588E1,1.015579956E3
5.719404034E1,1.015589966E3
5.812984481E1,1.015569946E3
5.906564927E1,1.015549988E3
6.000145374E1,1.015569946E3
