"Time (s)","Pressure (hPa)"
1.046543537E0,1.016209961E3
1.982348001E0,1.016169983E3
2.918152465E0,1.016159973E3
3.853956929E0,1.016209961E3
4.789761393E0,1.016190002E3
5.725565857E0,1.016219971E3
6.661370321E0,1.016190002E3
7.597174785E0,1.016179993E3
8.532979249E0,1.016250000E3
9.468783713E0,1.016219971E3
1.040458818E1,1.016190002E3
1.134039264E1,1.016219971E3
1.227619711E1,1.016229980E3
1.321200157E1,1.016199951E3
1.414780603E1,1.016209961E3
1.508361050E1,1.016179993E3
1.601941496E1,1.016239990E3
1.695521943E1,1.016209961E3
1.789102389E1,1.016209961E3
1.882682835E1,1.016229980E3
1.976263282E1,1.016190002E3
2.069843728E1,1.016179993E3
2.163424174E1,1.016199951E3
2.257004621E1,1.016219971E3
2.350585067E1,1.016209961E3
2.444165514E1,1.016190002E3
2.537745960E1,1.016239990E3
2.631326407E1,1.016219971E3
2.724906853E1,1.016209961E3
2.818487299E1,1.016209961E3
2.912067746E1,1.016219971E3
3.005648192E1,1.016199951E3
3.099228639E1,1.016229980E3
3.192809085E1,1.016229980E3
3.286389531E1,1.016209961E3
3.379969978E1,1.016199951E3
3.473550424E1,1.016179993E3
3.567130870E1,1.016209961E3
3.660711317E1,1.016190002E3
3.754291763E1,1.016239990E3
3.847872210E1,1.016179993E3
3.941452656E1,1.016229980E3
4.035033102E1,1.016199951E3
4.128613549E1,1.016149963E3
4.222193995E1,1.016190002E3
4.315774442E1,1.016119995E3
4.409354888E1,1.016039978E3
4.502935335E1,1.016009949E3
4.596515781E1,1.016009949E3
4.690096227E1,1.015940002E3
4.783676674E1,1.015909973E3
4.877257120E1,1.015899963E3
4.970837567E1,1.015869995E3
5.064418013E1,1.015819946E3
5.157998459E1,1.015819946E3
5.251578906E1,1.015789978E3
5.345159352E1,1.015769958E3
5.438739799E1,1.015719971E3
5.532320245E1,1.015739990E3
5.625900691E1,1.015789978E3
5.719481138E1,1.015729980E3
5.813061584E1,1.015750000E3
5.906642030E1,1.015799988E3
6.000222477E1,1.015759949E3
6.093802923E1,1.015779968E3
6.187383370E1,1.015729980E3
6.280963816E1,1.015779968E3
6.374544262E1,1.015789978E3
6.468124709E1,1.015769958E3
6.561705155E1,1.015750000E3
