"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.331034043E0,3.742435500E1,-1.221711767E2,3.133969104E1,1.441222243E-2,1.902599945E2,2.000000000E0,1.439999962E1
1.831034043E0,3.742435500E1,-1.221711783E2,3.133969444E1,1.852999926E-1,1.050400009E2,2.000000000E0,1.389999962E1
2.670034043E0,3.742434833E1,-1.221711733E2,3.133970222E1,1.126212239E0,1.449100037E2,2.099999905E0,1.389999962E1
3.170034043E0,3.742436500E1,-1.221711833E2,3.123967766E1,5.167810917E-1,1.565999985E1,2.099999905E0,1.360000038E1
3.670034043E0,3.742438500E1,-1.221712133E2,3.113968492E1,9.898108244E-1,3.484599915E2,1.899999976E0,1.219999981E1
4.170034043E0,3.742438333E1,-1.221712367E2,3.113973704E1,3.253044486E-1,3.328099976E2,1.799999952E0,1.239999962E1
5.170034043E0,3.742438500E1,-1.221712467E2,3.103975296E1,3.093480468E-1,3.258999939E2,1.700000048E0,1.219999981E1
6.170034043E0,3.742438167E1,-1.221712500E2,3.093976876E1,5.713416636E-2,2.764999962E1,1.600000024E0,1.210000038E1
7.170034043E0,3.742437667E1,-1.221712567E2,3.083979586E1,5.661944300E-2,3.159800110E2,1.600000024E0,1.139999962E1
8.170034043E0,3.742437667E1,-1.221712600E2,3.093980266E1,8.544389158E-2,2.939700012E2,1.500000000E0,1.039999962E1
9.170034043E0,3.742437667E1,-1.221712633E2,3.093980947E1,5.970777944E-2,3.342799988E2,1.500000000E0,9.899999619E0
1.017003404E1,3.742437500E1,-1.221712667E2,3.103982077E1,7.617888600E-2,2.560199890E2,1.399999976E0,1.000000000E1
1.117003404E1,3.742437333E1,-1.221712700E2,3.093983207E1,5.816360936E-2,2.124299927E2,1.399999976E0,1.150000000E1
1.217003404E1,3.742437167E1,-1.221712733E2,3.093984337E1,2.470666729E-2,2.507799988E2,1.399999976E0,1.260000038E1
1.317003404E1,3.742437000E1,-1.221712750E2,3.083985127E1,3.294222057E-2,9.260000229E0,1.399999976E0,1.339999962E1
